gallery_name,gallery_homepage,gallery_events,gallery_about,address,opening_hours,instagram,facebook,google_maps,google_share,manually checked
Dawid Radziszewski Gallery,https://dawidradziszewski.com/,https://dawidradziszewski.com/wystawy/,https://pl.wikipedia.org/wiki/Dawid_Radziszewski,"ul. Kolejowa 47a/U13
01-210 Warsaw, Poland","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/dawidradziszewskigallery/,https://www.facebook.com/GaleriaDawidRadziszewski/,https://maps.app.goo.gl/c9GWoX3K7TZJMont5,https://share.google/z5I90t1VpcbfUwLrD,✅
Dom Spotkań z Hisotrią ,https://dsh.waw.pl/,https://dsh.waw.pl/wystawy/,https://dsh.waw.pl/o-nas/dom-spotkan-z-historia/,"ul. Karowa 20, 00-324 Warszawa","Wtorek - Piątek: 10:00 - 20:00
Sobota - Niedziela: 12:00 - 20:00
Poniedziałek: nieczynne",https://www.instagram.com/dsh.waw.pl/,https://www.facebook.com/DomSpotkanzHistoria,https://maps.app.goo.gl/vCG5uLQemhsZWBHo8,https://share.google/dxnx7E4sKkdxKMrU0,✅
Dom Spotkań z Historią.,https://dsh.waw.pl/,https://dsh.waw.pl/wystawy/,https://dsh.waw.pl/o-nas/dom-spotkan-z-historia/,"Ul. Karowa 20, Warszawa","Wtorek - Piątek: 10:00 - 20:00
Sobota - Niedziela 12:00 - 20:00
Poniedziałek: nieczynna",https://www.instagram.com/dsh.waw.pl/,https://www.facebook.com/DomSpotkanzHistoria,https://maps.app.goo.gl/k9T6rDfVSd2JGLPu5,https://share.google/7F37m5ryZlW2LVyuO,
Ewa Opałka Gallery,https://ewaopalkagallery.com/,-,-,"ul. Nowolipki 2, 00-160 Warsaw","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek:nieczynne",https://www.instagram.com/ewa.opalka.gallery/,https://www.facebook.com/people/Galeria-Ewa-Opa%C5%82ka/61563815854341/,https://maps.app.goo.gl/CBZVx1uGzXgWPpQFA,https://share.google/BTGfzSxsKGHdNxr2t,✅
Fibak,https://www.galeriafibak.com/,-,-,"ul. Krakowskie Przedmiescie 5,
00-401 Warszawa","Poniedziałek - Piątek: 11:00 - 19:00
Sobota: 11:00 - 17:00 
Niedziela: nieczynne",n/a,https://www.facebook.com/galeriafibak,https://maps.app.goo.gl/JLV2wGGxTHqCcNrh8,-,
Fundacja Alina,-,-,-,"Brzozowa 31/33, 00-258 Warszawa","Środa - Niedziela: 12:00 - 18:00
Poniedziałek - Wtorek: nieczynne",https://www.instagram.com/fundacjaalina/?hl=en,https://www.facebook.com/fundacjaalina/,https://maps.app.goo.gl/8HMdUA74NwTis69D8,https://share.google/1MDTGh9FwRjaKm9tk,
Fundacja Archeologia Fotografii,https://faf.org.pl/,https://faf.org.pl/category/wystawy/,https://faf.org.pl/kontakt/,"ul. Chłodna 20, 00-891 Warszawa ","Poniedziałek: nieczynne
Wtorek: 11:00 - 17:00 
Środa - Czwartek: 11:00 - 19:00
Piątek : nieczynne
Sobota - Niedziela: 11:00 - 19:00",https://www.instagram.com/archeologia_fotografii/,https://www.facebook.com/archeologiafotografii,https://maps.app.goo.gl/NUZ8YLV1Joih1PQE8,https://share.google/5VZMyVt8N3Dom2q2l,✅
Fundacja Galerii Foksal,https://foksalgalleryfoundation.com/,https://foksalgalleryfoundation.com/exhibition,https://pl.wikipedia.org/wiki/Fundacja_Galerii_Foksal,"ul. Górskiego 1A, 00-033 Warszawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/foksal_gallery_foundation/,https://www.facebook.com/FundacjaGaleriiFoksal/,https://maps.app.goo.gl/6hQavANxsKXt9bnL7,https://share.google/nMPrzlvBtvh2uFWhr,✅
Fundacja Profile,https://fundacjaprofile.pl/,https://fundacjaprofile.pl/wystawy/,https://fundacjaprofile.pl/profile/,"ul. Franciszkańska 6, 00-214 Warszawa
Polska","Wtorek - Sobota: 12:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/fundacjaprofile/,https://www.facebook.com/profilefoundation/,https://maps.app.goo.gl/JZNy919GPHhEiZ9WA,https://share.google/5IwtWjQQZgPKGI8tP,✅
Fundacja PSW Promocji Sztuki Współczesnej,https://fpsw.org/pl/main,https://fpsw.org/pl/news,https://fpsw.org/pl/fundacja,"ul. Andersa 13, 00-159 Warszawa","Wtorek - Piątek: 16:00 - 20:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/fundacja_psw/,https://www.facebook.com/fundacja.psw/,https://maps.app.goo.gl/kU1DY8LYq6fRojsw8,https://share.google/CGSgYAdgpF9utURtr,
Fundacja Rodziny Staraków,https://starakfoundation.org/pl/main,https://starakfoundation.org/pl/kolekcja,https://starakfoundation.org/pl/fundacja,"ul. Bobrowiecka 6
00-728 Warszawa","Sobota - Niedziela: 10:00 - 18:00
Poniedziałek - Piątek: nieczynne",https://www.instagram.com/starakfamilyfoundation,https://www.facebook.com/SpectraArtSpace,https://maps.app.goo.gl/VVWMuTDTfWcvbtPG8,https://share.google/aER5fHRByVsZxinzu,✅
Fundacja Stefana Gierowskiego,https://stefangierowski.pl/,-,https://fundacjagierowskiego.pl/fundacja/,"ul plac Dąbrowskiego 8/11
00-055 Warszawa, Polska","Wtorek - Czwartek: 11:00 - 19:00
Piątek: 15:00 - 19:00
Sobota - Poniedziałek: nieczynne",https://www.instagram.com/fundacjagierowskiego/?hl=en,https://www.facebook.com/FundacjaStefanaGierowskiego/,https://maps.app.goo.gl/MgeNcffS8cFUFNsFA,https://share.google/IZyohwfiUKiJFLwNJ,✅
Galeria Foksal,https://www.galeriafoksal.pl/wystawy/home/,https://www.galeriafoksal.pl/wystawy/,https://www.galeriafoksal.pl/o-galerii/,"UL. Foksal 1/4,
00-366 Warszawa","Wtorek - Środa: 12:00 - 18:00
Czwartek: 12:00 - 19:00
Piątek: 12:00 - 18:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/galeria_foksal/?hl=en,https://www.facebook.com/Galeria.Foksal.1966/,https://maps.app.goo.gl/yufE83pi83GD8ux1A,https://share.google/5Oht5BGkqR8IP8ylH,✅
Galeria Propaganda,https://www.prpgnd.net/,https://www.prpgnd.net/projekty/,-,"Padewska 23, 00-777 Warszawa","Poniedziałek - Piątek: 12:00 - 18:00
Sobota - Niedziela: nieczynne",https://www.instagram.com/propaganda_prpgnd/,https://www.facebook.com/prpgnd,https://maps.app.goo.gl/jJjNCzsNRCcEw1PC9,https://share.google/GGgUNMcqKa5v5rX3f,✅
Galeria Przeciąg,https://galeriaprzeciag.pl/pl,"https://galeriaprzeciag.pl/pl/wystawy
https://galeriaprzeciag.pl/pl/aktualnosci",https://galeriaprzeciag.pl/pl/galeria-przeciag,"ul. Klaudyny 32
01-684 Warszawa","Wtorek - Piątek: 12:00 - 18:00
Sobota - Niedziela: on appointment 
Poniedziałek: nieczynne",https://www.instagram.com/przeciag_galeria/,https://www.facebook.com/people/Galeria-Przeci%C4%85g/61555818227927/,https://maps.app.goo.gl/L81iqXJfLTfu3z8JA,https://share.google/mheJGlE1n8rGs56ls,
Gunia Nowik Gallery,https://gunianowikgallery.com/,https://gunianowikgallery.com/exhibitions/,https://gunianowikgallery.com/contact/,"Pałac Brzozowskich, Bracka 20A, 00-028 Warszawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/gunianowikgallery/,https://www.facebook.com/gunianowikgallery,https://maps.app.goo.gl/4u4gRmvsKqDPJYf6A,https://share.google/HnBt3NOM2tAm4v3Mp,✅
HOS Gallery,https://www.hosgallery.pl/,https://www.hosgallery.pl/wystawy,https://www.hosgallery.pl/o-nas,ul. Dzielna 5 | 00-162 Warszawa,"Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/gallery_hos/,https://www.facebook.com/hosgallery/?ref=bookmarks,https://maps.app.goo.gl/y5DKyU7GgvHXXwCk9,https://share.google/Jtcuzn2JhP0O1GlNj,✅
Import Export,https://importexport.art/home/,https://importexport.art/exhibitions/,https://importexport.art/contact/,"Al. Szucha 16/7, 00-582 Warsaw, PL","Wtorek - Piątek: 15:00 - 18:00
Sobota: 12:00 - 18:00 lub on appointment",https://www.instagram.com/importexport.art/,https://www.facebook.com/importexportart,https://maps.app.goo.gl/VWK3ojMWCq8fCVHTA,https://share.google/1ckf87TNq2zQfhIFz,✅
Instytut Fotografii Fort,https://instytutfotografiifort.org.pl/,https://instytutfotografiifort.org.pl/galeria/aktualna-wystawa,https://instytutfotografiifort.org.pl/o-nas,"ul. Racławicka 99,  02-634 Warszawa","Środa - Piątek 14.00-18.00
Sobota - Niedziela 12.00-18.00
Poniedziałek - Wtorek: nieczynne",https://www.instagram.com/instytutfotografiifort/,https://www.facebook.com/instytutfotografiifort/,https://maps.app.goo.gl/7MHryfYSfZukAfXY8,https://share.google/jCZ4uWhVLICof08sF,✅
Jednostka Gallery,https://jednostka.com/,https://jednostka.com/en/exhibitions,https://jednostka.com/en/about-us,"ul. Andersa 13, 00–159 Warszawa","Środa - Sobota: 14:00 - 18:00
Niedziela - Wtorek: nieczynne",https://www.facebook.com/jednostkagallery,https://www.instagram.com/jednostkagallery,https://maps.app.goo.gl/rjdcdVqBtKK8BEqAA,https://share.google/VBkLp9pll1H9PPHBG,✅
Kordegarda Gallery,https://kordegarda.org/,https://kordegarda.org/wydarzenia/,-,"ul. Krakowskie Przedmieście 15/17, 00-071 Warszawa","Wtorek - Niedziela: 11:00 - 19:00
Poniedziałek: nieczynne",https://www.instagram.com/kordegarda.galerianck_official/,https://www.facebook.com/kordegarda,https://maps.app.goo.gl/ChJXkz953sn8XkTo9,https://share.google/LlezowPiudLOmSOLH,✅
Łazienki Królewskie,https://www.lazienki-krolewskie.pl/pl,https://www.lazienki-krolewskie.pl/pl/wideo/wystawy,-,"ul. Agrykola 1, 00-460 Warszawa",-,-,-,https://maps.app.goo.gl/NrqjqZsh8uYoUDq56,-,
Le Guern,https://leguern.pl/pl,https://leguern.pl/pl/wystawy,https://leguern.pl/pl/o-nas,"ul. Katowicka 25/1, 03-932 Warszawa","Wtorek - Piątek: 12:00 - 18:00
Sobota: 11:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/le_guern_gallery/,https://www.facebook.com/GaleriaLeGuern,https://maps.app.goo.gl/bqunyBacs8Yi1Axi6,https://share.google/VI43mCBa7P6JdOF8T,✅
LETO ,https://www.leto.pl/pl,https://www.leto.pl/pl/wystawy,https://www.leto.pl/pl/o-nas,"ul. Dzielna 5, 00-162 Warszawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne
",https://www.instagram.com/leto_gallery/,https://www.facebook.com/letogallery,https://maps.app.goo.gl/27TmNvvZTxaAqwHq5,https://share.google/eyDGDaVnvXiOrwQaU,✅
Lisowski Gallery,https://www.lisowski.gallery/,-,https://label-magazine.com/sztuka/artykuly/w-warszawie-otworzyla-sie-nowa-galeria-sztuki-lisowski,"ul. Chmielna 8, 00-020 Warszawa","Środa - Sobota: 14:00 - 20:00
Niedziela - Wtorek: nieczynne",https://www.instagram.com/lisowski.gallery,https://www.facebook.com/lisowski.gallery,https://maps.app.goo.gl/QcntJTgEbQZwkLXQA,https://share.google/xE938yaz606zDSWeo,✅
lokal_30,https://lokal30.pl/,https://lokal30.pl/wystawy-aktualna/,https://lokal30.pl/o-nas/,ul. Wilcza 29a/12,"Środa - Piątek 14.00–18.00
Sobota 12.00–16.00
lub po umówieniu spotkania
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/lokal_30/,https://www.facebook.com/lokal30,https://maps.app.goo.gl/gAkmuk8rLHHgRzrE7,https://share.google/YZ5buzt1n4Rf34xVy,✅
Lotna Gallery,https://www.galerialotna.pl/,https://www.galerialotna.pl/exhibitions,-,"ul. Marszałkowska 45/49, 00-648 Warszawa","Czwartek - Piątek: 15:00 - 20:00
Sobota: 16:00- 20:00
Niedziela - Środa: nieczynne",https://www.instagram.com/galerialotna/,https://www.facebook.com/people/Galeria-Lotna/61564915365147/,https://maps.app.goo.gl/7KqRMPQ4sUeQFHXb6,https://share.google/9jgoVxzBi3Y0fRIdP,✅
Marszałkowska 18,-,-,-,ul.Marszałkowska 18,"Środa - Sobota: 12:00 - 16:00
Niedziela - Wtorek: nieczynne",https://www.instagram.com/marszalkowska18/?hl=en,https://www.facebook.com/marszalkowska18/?locale=pl_PL,https://maps.app.goo.gl/K8vJipQM9fePptmX7,https://share.google/lyn2ulxMrbN5SHFXJ,
Melt museum,https://meltmuseum.com/?gad_source=1&gad_campaignid=22318582455&gbraid=0AAAAAqulD9Oashv9dRSIV83C51hWDQ1bG&gclid=Cj0KCQjwmYzIBhC6ARIsAHA3IkSv0XB1p_e8cHrg0e_8FxXftK0zwYvN49-1cU6na1Tp0FDHay-64kgaAkTkEALw_wcB,https://meltmuseum.com/wystawy/,https://meltmuseum.com/o-tworcach/,"Plac Powstańców Warszawy 2A
(wejście od ulicy Wareckiej)
00-030 Warszawa","Wtorek - Piątek: 12:00 - 21:00 
Sobota - Niedziela: 10:00 - 21:00
Poniedziałek: nieczynne",https://www.instagram.com/melt.museum,https://www.facebook.com/melt.museum/,https://maps.app.goo.gl/R9ncCgRUnSt3pw1g8,https://share.google/Ro2z7CFmfjHpXPg5V,✅
Monopol Gallery,https://galeriamonopol.pl/en/,https://galeriamonopol.pl/en/exhibitions/,-,Aleje Jerozolimskie 117,"Wtorek - Piątek: 12:00 - 19:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/galeriamonopol/,https://www.facebook.com/monopolgaleria,https://maps.app.goo.gl/K4sN17fbab4fHnqRA,https://share.google/cugZYe2m8F5z4ZkOO,✅
Muzeum Azji i Pacyfiku,https://www.muzeumazji.pl/,https://www.muzeumazji.pl/wystawy-czasowe/,https://www.muzeumazji.pl/o-muzeum/historia/,"ul. Solec 24
00-403 Warszawa","Wtorek - Niedziela: 10:00 - 18:00
Poniedziałek: nieczynne",https://www.instagram.com/muzeumazji/,https://www.facebook.com/muzeumazji,https://maps.app.goo.gl/ZKPiyR5ThkL4mKhQ7,https://share.google/GEw2uSr0TbLgDti9R,
Muzeum Fryderyka Chopina,https://muzeum.nifc.pl/pl,https://muzeum.nifc.pl/pl/muzeum/kolekcja-ekspozycje-stale,https://muzeum.nifc.pl/pl/muzeum/misja,"Pałac Gnińskich (Zamek Ostrogskich)
ul. Okólnik 1
00-368 Warszawa","Wtorek - Niedziela: 10:00 - 18:00 
Środa: nieczynne",https://www.instagram.com/chopinmuseum/,-,https://maps.app.goo.gl/NY3ojWWs5qYLDfus5,https://share.google/eWJCoyVgN5f4Bgxh4,
Muzeum Historii Polski,https://muzhp.pl/,"https://muzhp.pl/wystawy
https://muzhp.pl/wydarzenia",-,"Gwardii 1, 01-538 Warszawa, Poland","Środa - Piątek: 10:00- 18:00
Sobota - Niedziela: 10:00 - 19:00
Poniedziałke - Wtorek: nieczynne",https://www.instagram.com/muzeumhistoriipolski/,https://www.facebook.com/MuzeumHistoriiPolski/,https://maps.app.goo.gl/QeGzg67NK4aWSvTF7,https://share.google/BPHRDZPS9cZzFGo3K,
Muzeum Historii Żydów Polskich POLIN,https://polin.pl/pl,https://polin.pl/pl/wystawa-stala,https://polin.pl/pl/o-muzeum,"ul. Mordechaja Anielewicza 6
00-157 Warszawa",Poniedziałek - Piątek: 10:00 - 17:00,https://www.instagram.com/polinmuseum/,https://www.facebook.com/polinmuseum,https://maps.app.goo.gl/kdRZha2g8mzp7s2t5,https://share.google/Hp6m8JNCuDB53g1Vr,✅
Muzeum Karykatury im. Eryka Lipińskiego,https://muzeumkarykatury.pl/pl/,https://muzeumkarykatury.pl/pl/pl-wystawy,https://muzeumkarykatury.pl/pl/o-muzeum,"ul. Kozia 11
00-070 Warszawa","Wtorek - Środa: 10:00 - 18:00
Czwartek: 12.00 – 20.00
Piątek - Niedziela: 10.00 – 18.00
Poniedziałek: nieczynne",https://www.instagram.com/muzeumkarykatury/,https://www.facebook.com/muzeumkarykatury/?ref=hl,https://maps.app.goo.gl/jnTxx26nZ17neYL48,https://share.google/PmVAWy7wDdKnTKtUE,
Muzeum Literatury (Dom Literatury / Muzeum Literatury im. Adama Mickiewicza),https://muzeumliteratury.pl/,https://muzeumliteratury.pl/wystawy/,-,"Rynek Starego Miasta 20, 00-272 Warszawa","Wtorek - Środa: 10:00 - 17:00 
Czwartek: 12:00 - 20:00
Piątek - Niedziela: 10:00 - 18:00
Poniedziałek: nieczynne",https://www.instagram.com/muzeum_literatury/,https://www.facebook.com/MuzeumLiteratury/,https://maps.app.goo.gl/ubC22aRjkEc1bQ7S8,-,
Muzeum Narodowe w Warszawie,https://www.mnw.art.pl/,https://www.mnw.art.pl/wystawy/,https://www.mnw.art.pl/o-muzeum/,"Aleje Jerozolimskie 3, 00-495 Warszawa","Wtorek - Czwartek: 10.00 - 18.00
Piątek: 10.00 - 20.00
Sobota - Niedziela: 10.00–18.00
Poniedziałek: nieczynne",https://www.instagram.com/nationalmuseuminwarsaw/,https://www.facebook.com/MuzeumNarodowe?fref=ts,https://maps.app.goo.gl/XDbKDAYwu9g4Zt9XA,https://share.google/8VU387WbzyjqGkPUj,✅
Muzeum Neonów,https://www.neonmuzeum.org/,https://www.neonmuzeum.org/wizyta,https://www.neonmuzeum.org/o-muzeum,"Pałac Kultury i Nauki
Wejście Główne od ul. Marszałkowskiej. 4 piętro, boczne windy z Poziomu -1
Plac Defilad 1
00-901 Warszawa","Niedziela - Czwartek: 11:00 - 18:00
Piątek - Sobota: 11:00- 19:00",https://www.instagram.com/NeonMuzeum/,https://www.facebook.com/NeonMuzeum,https://maps.app.goo.gl/VBhAP7T3LcSNVCfU6,https://share.google/w4qsb7jXSXPFl7O4J,
Muzeum Powstania Warszawskiego,https://www.1944.pl/,https://www.1944.pl/wydarzenia.html,"https://www.1944.pl/artykul/ekspozycja,4500.html","ul. Grzybowska 79 (wejście od ul. Przyokopowej)
00-844 Warszawa","Środa - Piątek: 08:00 - 18:00
Sobota - Niedziela: 10:00 - 18:00
Poniedziałek 08:00 - 18:00
Wtorek: nieczynne",https://www.instagram.com/warsawrisingmuseum?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw%3D%3D,https://www.facebook.com/1944pl,https://maps.app.goo.gl/Scu91XeNV1rmd57d9,https://share.google/NRWhD8b2wcmk1Fj8r,
Muzeum Rzeźby Królikarnia Oddział Muzeum Narodowego w Warszawie,https://krolikarnia.mnw.art.pl/,https://krolikarnia.mnw.art.pl/wydarzenia/kalendarz-wydarzen/,https://krolikarnia.mnw.art.pl/o-krolikarni/,"ul. Puławska 113a
02-707 Warszawa","Środa - Czwartek: 10.00 - 18.00
Piątek: 10.00 - 20.00
Sobota - Niedziela: 10.00 - 18.00
Poniedziałek - Wtorek: nieczynne",https://www.instagram.com/krolikarnia/,https://www.facebook.com/Krolikarnia,https://maps.app.goo.gl/KzaSS3wMkW42tZsv9,https://share.google/HRZaiW61VtsX2JgNI,✅
Muzeum Sztuki Nowoczesnej,https://artmuseum.pl/?gad_source=1&gad_campaignid=21249621826&gbraid=0AAAAACnAMLOeht-jeqD6pzp_1ldDbAPpl&gclid=Cj0KCQjwmYzIBhC6ARIsAHA3IkQRdURt3HP0GXgEoHxSo_GIthdNSNuynekfBO2aBJITusOujZ5SLN0aAsZyEALw_wcB,https://artmuseum.pl/program?from=2025-10-30&type=all,https://artmuseum.pl/o-muzeum,"ul. Marszałkowska 103, 00-110
Warszawa","Wtorek - Niedziela: 12:00 - 20:00
Poniedziałek: nieczynne",https://www.instagram.com/msnwarszawa?hl=pl,https://www.facebook.com/MuzeumSztukiNowoczesnej,https://maps.app.goo.gl/vSEzn6QmExAkEnVBA,https://share.google/Av592D7BxZwlgpief,✅
Muzeum Wojska Polskiego,https://muzeumwp.pl/,https://muzeumwp.pl/aktualnosci-2/,https://muzeumwp.pl/o-nas/,"Plac Gwardii Pieszej Koronnej
Pawilon Południowy
01-519 Warszawa","Wtorek - Niedziela: 10:00 - 18:00
Poniedziałek: nieczynne",https://www.instagram.com/muzeumwojskapolskiego/,https://www.facebook.com/MuzeumWP/?locale=pl_PL,https://maps.app.goo.gl/TnopnoLSc5zeQku1A,https://share.google/rs8BQICvancgUcavJ,
Objekt Gallery,https://objekt.gallery/,https://objekt.gallery/blogs/exhibitions,https://objekt.gallery/pages/about,"Mikołaja Kopernika 8/18 lok. 105c, 00-367 Warszawa, Poland","Środa - Piątek: 13:00 - 18:00
Sobota - Wtorek: nieczynne",https://www.instagram.com/objekt_gallery/,n/a,https://maps.app.goo.gl/QcsRHoEiqxoEK6rC9,https://share.google/CINl7fp3JytKHrnBC,✅
Olszewski Gallery,https://olszewskigallery.com/,https://olszewskigallery.com/en/art-exhibitions-in-warsaw-avant-garde-artists-what-to-see,https://olszewskigallery.com/en/valuation-and-acquisition-of-artworks-specialists-in-polish-avant-garde-art,"ul. Emilii Plater 11,00-694 Warsaw","Wtorek - Piątek: 11:00- 18:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/olszewski_gallery/,https://www.facebook.com/olszewskiciacek/?locale=pl_PL,https://maps.app.goo.gl/ajnHTxLP242wcBDT6,https://share.google/27FNGBT7nVvee7fRE,✅
Pałac Rzeczypospolitej,,https://palacrzeczypospolitej.pl/tag/wystawa/,-,"pl. Krasińskich 3/5
00-207 Warszawa","Środa - Poniedziałek: 11:00 - 19:00 
Wtorek: nieczynne",https://www.instagram.com/palacrzeczypospolitej/,https://www.facebook.com/palacrzeczypospolitej,https://maps.app.goo.gl/AwuAcvWmZJAyWGQe9,https://share.google/pcId1cQEpAtR9AXuP,
Piktogram ,https://piktogram.org/en,https://piktogram.org/en/exhibitions,https://piktogram.org/en/o-nas,"ul. Górskiego 4, 00-033, Warsaw","Wtorek - Piątek: 12:00–19:00
Sobota: 12:00–18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/piktogram_org/followers/mutualOnly,https://www.facebook.com/piktogram.org,https://maps.app.goo.gl/3U5emRcpWgDczhL39,https://share.google/1A94cVON9A8tPdbPO,✅
Polana Institute,https://polana.institute/,https://polana.institute/exhibitions,https://polana.institute/about,"ul. Stanisława Noakowskiego 16/35
Warsaw, PL","Wtorek - Czwartek: 16:00 - 19:00
Piątek: nieczynne
Sobota: 12:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/polanainstitute/,https://www.facebook.com/polanainstitute,https://maps.app.goo.gl/4CZui4d9AxKZPe4a7,https://share.google/An0Dz99TIdUdn6XDx,✅
